statusesCount,followersCount,favoritesCount,friendsCount,name,created,screenName,location,lang,id,followRequestSent
594,693,29,1982,JUSTINE,2013-06-25T14:14:26Z,JAZZKID_,South Africa »»» Johannesburg,en,1545846842,FALSE
1767,216,23,869,:): BiPoLaR :):,2009-09-22T19:40:35Z,vcjr77,Florianópolis - SC,pt,76427378,FALSE
115,347,57,353,Cheaper Van Sales,2014-08-12T08:33:49Z,CheapVanSales,Wales,en,2725740619,FALSE
12928,1466,2040,1714,月風・・・史実を良く知ろう！,2011-06-19T04:27:07Z,j_tukikaze,茨城県 鹿嶋市,ja,320013219,FALSE
3243,293,8,292,みぃ♡竜党！,2014-02-06T12:47:44Z,ZaffirM,NA,ja,2330249953,FALSE
96,791,1,1149,まさまさ,2014-03-14T09:19:52Z,emuto1,不動産投資でやりたい仕事を実現させよう！,ja,2388759806,FALSE
326,364519,33,398734,DRAGON EYE 卍,2013-01-11T15:53:33Z,DRAGON_EYE_XXX,東京都,ja,1080094506,FALSE
13433,329749,2638,244944,Michelle Stripe,2013-05-05T12:29:44Z,michellestripe,NA,en,1404968809,FALSE
6,582,0,1744,新山@美肌アトピー,2014-10-15T12:35:53Z,niiyama12,NA,ja,2856715160,FALSE
4898,49255,8002,53376,Gareth,2014-01-15T22:50:16Z,gmcGareth,"Wales, United Kingdom",en,2293490420,FALSE
171,11219,25,10033,Luke Harte,2016-01-13T20:53:27Z,Luke_Harte,Edinburgh & Malmö,en,4797596357,FALSE
199,1438,289,1711,Nichole Crawford,2009-04-22T18:40:30Z,MsNCrawford,Seattle WA,en,34355966,FALSE
1530,2593,27,3430,I ♥ World,2013-09-01T09:47:34Z,IWorld10,NA,hu,1718504684,FALSE
1199,530,4,428,Rich Grof,2011-01-21T22:47:56Z,richgrof,"Barrie, Ontario",en,241294704,FALSE
296,411,76,986,hashigo skater,2015-02-08T07:29:18Z,HashigoS,NA,ja,3013145084,FALSE
5336,5209,215,5547,villupuramcoin,2013-01-12T11:18:27Z,villupuramcoin,NA,en,1082667775,FALSE
0,4,0,525,Lisa Willis,2014-03-10T05:10:28Z,LEESNAW,NA,en,2381556644,FALSE
426,483,4,1000,まがいかつみ,2012-05-28T08:55:05Z,fukuimagai,福井県福井市順化２丁目21ー8,ja,592547474,FALSE
1233,521,90,352,Sessions College,2009-06-12T21:04:54Z,SessionsCollege,Global,en,46748406,FALSE
0,3801,0,3808,orenge,2012-08-21T05:02:13Z,l9803,NA,ja,770859637,FALSE
851,735,8,1958,Saravana Gopalan,2009-05-13T12:17:10Z,saravanagopalan,Global,en,39737981,FALSE
1,2,0,708,尋找辛福的丿,2012-04-10T16:39:51Z,carmenliukaman,NA,en,550253522,FALSE
62609,1168,14,1986,a6m5zero,2011-06-20T06:18:25Z,cba31458,NA,ja,320604099,FALSE
340,1791,0,1964,学生起業家☆愛,2013-06-13T13:23:52Z,mvh0606,NA,ja,1513370886,FALSE
460,1228,104,1755,AMP Electrical Ltd,2013-03-20T09:01:39Z,ampelecltd,"Chelmsford, East",en,1282764464,FALSE
7362,3336,4,3693,AB型女JUJUの美身手帳,2011-11-09T12:47:43Z,jewelery_juju,神戸 Japan,ja,408448006,FALSE
909,442,609,677,ItKindaWorks,2016-02-21T03:32:57Z,itkindaworksinc,"Amherst, MA",en,701248213639159808,FALSE
294,119201,1,117636,Aşk ♥,2011-10-16T18:34:39Z,ssugar34,Turkey Istanbul,tr,392225691,FALSE
13368,30502,4,32568,勇往邁進して成功をつかむ＠安森厚太,2011-12-17T04:22:11Z,kyasumori1228,福岡県福岡市東区水谷,ja,438895766,FALSE
6390,527,16264,586,浜松たばこセンターやしま,2011-11-11T02:12:02Z,Yashimatobacco,静岡県浜松市中区鍛冶町125,ja,409668905,FALSE
11,35199,0,30112,成司,2014-09-13T06:05:04Z,sejiyanen,NA,ja,2806902085,FALSE
527,256,100,1024,HIGH UP VIPA,2013-04-14T08:34:39Z,TeamVipa,Follows you,en,1351359308,FALSE
89,1620,65,1718,M.MIHARA,2014-03-26T08:20:55Z,yhffks,NA,ja,2412273128,FALSE
491,2736,9,2515,木尾原裕,2009-07-16T01:42:25Z,KioharaYu,Japanのお絵描きなとこ,ja,57205021,FALSE
4016,961,0,1194,東京駅伊吹Suica,2011-04-09T02:03:46Z,Tokyo_sta_suica,東京エキナカ,ja,279329406,FALSE
1012,2489,4,2781,【劇的！】相互フォロー100％,2013-07-11T07:56:25Z,gekiteki_sougo,NA,ja,1585237819,FALSE
3796,19767,3,21794,玉城秀樹・健康呼吸研究家・セラピスト,2010-04-22T13:36:45Z,kobe_tamaki,神戸市中央区,ja,135887149,FALSE
0,8,0,765,Monya,2011-02-25T02:01:33Z,monyatalrooh,NA,en,257261322,FALSE
395700,1899,1,1926,Juno.Party,2011-11-12T13:22:31Z,JunoParty,名古屋市,ja,410711084,FALSE
213,175,915,103,柊,2015-04-28T08:17:53Z,hiragilove,NA,ja,3177904908,FALSE
0,642,0,685,眞也,2014-08-27T00:21:56Z,OppositMyvxelam,NA,ja,2771820878,FALSE
1165,828,1,979,くし蔵,2011-04-01T10:47:41Z,kusikura9494,福岡県福岡市中央区薬院2-4-26,ja,275477413,FALSE
809,1421,67,1855,Apala Lahiri Chavan,2008-12-09T14:27:09Z,FuturistApala,Pondicherry,en,17991915,FALSE
17,1,0,523,selim,2009-08-30T08:35:21Z,selimx,NA,tr,70082296,FALSE
0,2,0,1349,paul hill,2011-08-09T11:38:53Z,paulhill13,NA,en,351536927,FALSE
60359,3373,1858,3809,ひ  か♡竜魂爆勝♡,2010-11-09T10:24:00Z,HICASSSS,東  海   三  重 四 日 市,ja,213606068,FALSE
2669,1234,520,2046,kayden |-/,2014-04-16T17:41:17Z,KaydenTheCreatr,Dj Khaled School,en,2447675756,FALSE
115,901,13,1496,Seen In Lancashire,2013-05-28T14:48:24Z,SeenInLancs,NA,en,1464892405,FALSE
35440,286233,2,321510,안티 YTN,2010-12-28T19:19:31Z,YTN,NA,ko,231521076,FALSE
198,25268,1864,25180,✨❗️ابـنـﮯ سـوريےآ❗️✨,2014-06-08T19:41:11Z,Syria11995,ŚŸŖÏÄ⚡️❌الـخـاصے مـهــمـلــ❌,ar,2555379824,FALSE
1775,422,90,1825,Thomas Paffett,2015-05-15T08:23:37Z,TechfellowTP,"London, England",en,3255807904,FALSE
24834,5052,0,5487,5spot@相互フォロー,2013-12-15T01:31:53Z,5spotinfo,NA,ja,2246421894,FALSE
959,235,270,477,The_Analyst,2009-04-23T08:36:53Z,lilnadia,"Claremont CT, South Africa",en,34568443,FALSE
1741,392,0,781,Healthy Food Recipes,2011-03-13T21:17:35Z,_healthrecipes,NA,en,265605915,FALSE
32375,738,6,1010,玉木屋@4月13日はひこにゃん誕生日,2010-09-07T14:19:09Z,tamakiya_dame,びわこ県ひこにゃん市,ja,187928157,FALSE
0,2,0,362,Nelson Alves,2014-03-29T04:51:30Z,NelsonA80221516,NA,en,2416947378,FALSE
80856,7072,2,7585,みなみ猫,2011-07-29T23:00:26Z,minami3nekotw,東京都,ja,345012484,FALSE
347538,86290,23856,62319,Toprak,2011-12-08T23:55:52Z,nediyorki,NA,nl,432042596,FALSE
259,21,29,1989,Whoray,2009-07-10T14:49:09Z,whoray2me,Florida,en,55580755,FALSE
623,111,440,149,かずほ@本垢,2013-03-12T15:46:49Z,drgnsibt,NA,ja,1262277823,FALSE
43586,133,0,151,宇佐美　慶治,2010-12-14T13:30:59Z,usami233_Bot,NA,ja,226556218,FALSE
628,556,45,757,現場王,2015-09-11T22:53:33Z,99curiosity99,NA,ja,3531426492,FALSE
162,1067,76,1007,EFFSC@NWUMFK,2015-05-09T18:46:35Z,Effsc_nwumfk,"Mafikeng, South Africa",en,3243864718,FALSE
35,17,1,1183,Sérgio Sant'ana,2011-06-05T18:13:19Z,sergiocb1,NA,pt,311588157,FALSE
13546,506,1725,571,yunarin♥︎,2013-02-26T02:33:34Z,ynsn_,NA,ja,1220269002,FALSE
3,110,6,242,あ,2016-02-25T08:06:00Z,sjwisjustice,NA,en,702766478844506112,FALSE
148,461,137,579,山本祐介,2015-05-15T14:32:53Z,YamamotodesuY,愛媛県 松山市,ja,3196444207,FALSE
563,210,10,722,merve aydogan,2009-08-23T20:37:22Z,spinelli82,Turkey,en,68230252,FALSE
883,868,217,1808,MacArthur's Spirits,2013-11-28T17:56:13Z,MacArthurSpirit,"Montreal,QC. Canada",en,2220138823,FALSE
45199,63416,10422,69198,Lord Snoutintrough,2012-04-18T07:13:29Z,Rowland72James,Boughtseatshire  England UK,en,556629230,FALSE
2318,9884,10,10470,【相互】保存版！美しい風景【高画質】,2014-04-02T23:53:35Z,gattodioggi,NA,ja,2424495032,FALSE
69977,42223,198,45130,amiens international,2008-01-23T12:33:17Z,amiens,"33.3333,133.3333 高知県高知市地球33番地",ja,12591342,FALSE
